#x1        -12
#x2        12
#D         1
#numPoints 256
#runtime   34
#outtime   1
#a0        0.16
#sigma0    1
#filename  data.dat


# t = 0
-11.9059 2.65151e-32
-11.8118 8.09502e-32
-11.7176 2.44963e-31
-11.6235 7.34734e-31
-11.5294 2.18433e-30
-11.4353 6.43657e-30
-11.3412 1.87996e-29
-11.2471 5.4424e-29
-11.1529 1.56167e-28
-11.0588 4.44159e-28
-10.9647 1.25211e-27
-10.8706 3.49863e-27
-10.7765 9.68968e-27
-10.6824 2.65992e-26
-10.5882 7.23747e-26
-10.4941 1.95188e-25
-10.4 5.21766e-25
-10.3059 1.38245e-24
-10.2118 3.63059e-24
-10.1176 9.45051e-24
-10.0235 2.43832e-23
-9.92941 6.23554e-23
-9.83529 1.58058e-22
-9.74118 3.97105e-22
-9.64706 9.88899e-22
-9.55294 2.44089e-21
-9.45882 5.97173e-21
-9.36471 1.44811e-20
-9.27059 3.48065e-20
-9.17647 8.29218e-20
-9.08235 1.95809e-19
-8.98824 4.58297e-19
-8.89412 1.06321e-18
-8.8 2.44476e-18
-8.70588 5.57203e-18
-8.61176 1.25875e-17
-8.51765 2.81852e-17
-8.42353 6.25536e-17
-8.32941 1.37607e-16
-8.23529 3.00039e-16
-8.14118 6.48444e-16
-8.04706 1.38904e-15
-7.95294 2.94928e-15
-7.85882 6.20676e-15
-7.76471 1.2947e-14
-7.67059 2.67686e-14
-7.57647 5.48577e-14
-7.48235 1.11429e-13
-7.38824 2.24345e-13
-7.29412 4.47697e-13
-7.2 8.85539e-13
-7.10588 1.73612e-12
-7.01176 3.37373e-12
-6.91765 6.49815e-12
-6.82353 1.24058e-11
-6.72941 2.34752e-11
-6.63529 4.40302e-11
-6.54118 8.18545e-11
-6.44706 1.50831e-10
-6.35294 2.75478e-10
-6.25882 4.987e-10
-6.16471 8.94834e-10
-6.07059 1.59148e-09
-5.97647 2.8055e-09
-5.88235 4.90203e-09
-5.78824 8.48968e-09
-5.69412 1.45734e-08
-5.6 2.47961e-08
-5.50588 4.18176e-08
-5.41176 6.99014e-08
-5.31765 1.15816e-07
-5.22353 1.90196e-07
-5.12941 3.09592e-07
-5.03529 4.99492e-07
-4.94118 7.98771e-07
-4.84706 1.2661e-06
-4.75294 1.98915e-06
-4.65882 3.09755e-06
-4.56471 4.78106e-06
-4.47059 7.31443e-06
-4.37647 1.10916e-05
-4.28235 1.66708e-05
-4.18823 2.48355e-05
-4.09412 3.66726e-05
-4 5.36741e-05
-3.90588 7.78645e-05
-3.81176 0.000111962
-3.71765 0.000159569
-3.62353 0.000225416
-3.52941 0.000315625
-3.43529 0.000438039
-3.34118 0.000602567
-3.24706 0.000821585
-3.15294 0.00111033
-3.05882 0.00148732
-2.96471 0.00197473
-2.87059 0.00259877
-2.77647 0.00338983
-2.68235 0.00438271
-2.58823 0.00561642
-2.49412 0.00713395
-2.4 0.00898157
-2.30588 0.011208
-2.21176 0.013863
-2.11765 0.0169957
-2.02353 0.0206526
-1.92941 0.0248749
-1.83529 0.0296963
-1.74118 0.0351396
-1.64706 0.0412138
-1.55294 0.0479118
-1.45882 0.0552071
-1.36471 0.0630523
-1.27059 0.0713771
-1.17647 0.0800886
-1.08235 0.0890707
-0.988235 0.0981866
-0.894117 0.107281
-0.799999 0.116184
-0.705882 0.124716
-0.611764 0.132694
-0.517647 0.139937
-0.423529 0.146275
-0.329412 0.15155
-0.235293 0.155632
-0.141176 0.158413
-0.0470581 0.159823
0.0470591 0.159823
0.141177 0.158413
0.235294 0.155632
0.329412 0.15155
0.42353 0.146275
0.517648 0.139937
0.611765 0.132694
0.705883 0.124716
0.8 0.116184
0.894118 0.107281
0.988235 0.0981865
1.08235 0.0890706
1.17647 0.0800885
1.27059 0.071377
1.36471 0.0630522
1.45882 0.055207
1.55294 0.0479117
1.64706 0.0412137
1.74118 0.0351395
1.83529 0.0296962
1.92941 0.0248749
2.02353 0.0206525
2.11765 0.0169957
2.21177 0.013863
2.30588 0.011208
2.4 0.00898155
2.49412 0.00713393
2.58824 0.0056164
2.68235 0.0043827
2.77647 0.00338982
2.87059 0.00259876
2.96471 0.00197473
3.05882 0.00148732
3.15294 0.00111033
3.24706 0.000821583
3.34118 0.000602566
3.43529 0.000438038
3.52941 0.000315625
3.62353 0.000225416
3.71765 0.000159569
3.81176 0.000111961
3.90588 7.78644e-05
4 5.3674e-05
4.09412 3.66725e-05
4.18824 2.48354e-05
4.28235 1.66707e-05
